Summary,Issue Type,Priority,Status,Category,Details
"Routes: /admin/studio","Task","Medium","To Do","Routes","Contains TODO/FIXME comments"
"Components: WorldClocks.tsx","Task","Medium","To Do","Components","No tests found"
"Components: RightSidebar.tsx","Task","Medium","To Do","Components","No tests found"
"Components: RichTextEditor.tsx","Task","Medium","To Do","Components","No tests found"
"Components: PageHero.tsx","Task","Medium","To Do","Components","No tests found"
"Components: Navigation.tsx","Task","Medium","To Do","Components","No tests found"
"Components: Header.tsx","Task","Medium","To Do","Components","No tests found"
"Components: GlobalFeedStream.tsx","Task","Medium","To Do","Components","No tests found"
"Components: FeedCard.tsx","Task","Medium","To Do","Components","No tests found"
"Components: AnimatedGlobe.tsx","Task","Medium","To Do","Components","No tests found"
"Components: ui/StatusDot.tsx","Task","Medium","To Do","Components","No tests found"
"Components: ui/Skeleton.tsx","Task","Medium","To Do","Components","No tests found"
"Components: ui/ComingSoonModal.tsx","Task","Medium","To Do","Components","No tests found"
"Components: ui/Card.tsx","Task","Medium","To Do","Components","No tests found"
"Components: ui/Button.tsx","Task","Medium","To Do","Components","No tests found"
"Components: ui/Avatar.tsx","Task","Medium","To Do","Components","No tests found"
"Components: widgets/TermOfDay.tsx","Task","Medium","To Do","Components","No tests found"
"Components: widgets/NISTAssistant.tsx","Task","Medium","To Do","Components","No tests found"
"Components: widgets/DataBoxes.tsx","Task","Medium","To Do","Components","No tests found"
"Components: widgets/BreachCounter.tsx","Task","Medium","To Do","Components","No tests found"
